Player,Value,Squad
Armel Bella-Kotchap,9.0,Southampton
Ronnie Edwards,3.8,Southampton
Nathan Wood,3.5,Southampton
Jack Stephens,1.5,Southampton
Joachim Kayi Sanda,1.5,Southampton
Jayden Moore,0.0,Southampton
Juan Larios,3.5,Southampton
Ryan Manning,3.0,Southampton
Welington,3.0,Southampton
Charlie Taylor,2.2,Southampton
Kyle Walker-Peters,15.0,Southampton
Yukinari Sugawara,11.0,Southampton
James Bree,2.5,Southampton
Lesley Ugochukwu,18.0,Southampton
Flynn Downes,13.0,Southampton
Shea Charles,10.0,Southampton
Mateus Fernandes,15.0,Southampton
Carlos Alcaraz,14.0,Southampton
Joe Aribo,6.0,Southampton
Will Smallbone,6.0,Southampton
Joe O'Brien-Whitmarsh,0.3,Southampton
Romeo Akachukwu,0.15,Southampton
Albert Grønbæk,11.0,Southampton
Adam Lallana,0.75,Southampton
Kamaldeen Sulemana,13.0,Southampton
Maxwel Cornet,8.0,Southampton
Samuel Edozie,6.0,Southampton
Ryan Fraser,2.0,Southampton
Jay Robinson,0.0,Southampton
Tyler Dibling,25.0,Southampton
Samuel Amo-Ameyaw,4.0,Southampton
Adam Armstrong,12.0,Southampton
