Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Rodrigo Nestor,BRA,MF,SГЈo Paulo,23,10.9,0,16,7,43.8,1.46,0.64,0.00,0.00,0,0
JosГ© Vitor Silva Neves,BRA,MF,Athletico Paranaense,23,2.0,0,3,1,33.3,1.53,0.51,0.00,0.00,0,0
Newton,BRA,MF,CriciГєma,23,25.5,1,36,8,22.2,1.41,0.31,0.03,0.13,0,0
NikГЈo,BRA,MF,Athletico Paranaense,31,18.0,6,50,17,34.0,2.77,0.94,0.12,0.35,0,0
Nonato,BRA,MF,Fluminense,25,3.3,0,2,1,50.0,0.60,0.30,0.00,0.00,0,0
Gustavo Nunes,BRA,MF,GrГЄmio,18,13.8,3,18,7,38.9,1.31,0.51,0.17,0.43,0,0
Cauly Oliveira Souza,BRA,"MF,FW",Bahia,28,29.7,4,47,14,29.8,1.58,0.47,0.09,0.29,0,0
Leo Ortiz,BRA,"MF,DF",Flamengo,28,20.9,1,14,3,21.4,0.67,0.14,0.07,0.33,0,0
Osvaldo,BRA,"MF,FW",VitГіria,36,11.9,2,21,12,57.1,1.76,1.01,0.05,0.08,1,1
OtГЎvio,BRA,MF,AtlГ©tico Mineiro,29,21.3,0,12,2,16.7,0.56,0.09,0.00,0.00,0,0
Luis OtГЎvio,BRA,MF,Internacional,16,0.6,0,1,0,0.0,1.67,0.00,0.00,,0,0
Luis Oyama,BRA,MF,Juventude,27,7.6,2,6,4,66.7,0.79,0.53,0.33,0.50,0,0
Pablo,BRA,FW,Athletico Paranaense,31,18.9,3,41,13,31.7,2.17,0.69,0.07,0.23,0,0
Pablo,BRA,DF,Botafogo (RJ),32,0.3,0,0,0,,0.00,0.00,,,0,0
Juan Pablo,BRA,DF,CuiabГЎ,21,3.8,0,3,1,33.3,0.79,0.26,0.00,0.00,0,0
Ruan Pablo,BRA,FW,Bahia,15,0.1,0,0,0,,0.00,0.00,,,0,0
Bruno Pacheco,BRA,"DF,MF",Fortaleza,32,13.2,1,8,2,25.0,0.61,0.15,0.13,0.50,0,0
Brahian Palacios,COL,MF,AtlГ©tico Mineiro,21,8.9,2,28,15,53.6,3.15,1.69,0.04,0.07,1,1
Helibelton Palacios,COL,DF,Cruzeiro,30,1.0,0,1,0,0.0,1.03,0.00,0.00,,0,0
Sergio Palacios,COL,DF,RB Bragantino,18,0.3,0,0,0,,0.00,0.00,,,0,0
Pedro Paranhos,BRA,FW,AtlГ©tico Goianiense,17,0.1,0,1,0,0.0,7.50,0.00,0.00,,0,0
Mateus Pasinato,BRA,GK,CuiabГЎ,31,2.0,0,0,0,,0.00,0.00,,,0,0
Alan Patrick,BRA,"MF,FW",Internacional,32,19.7,8,43,21,48.8,2.18,1.06,0.09,0.19,4,5
Patryck,BRA,"DF,MF",SГЈo Paulo,21,6.8,0,1,0,0.0,0.15,0.00,0.00,,0,0
Patrick de Paula,BRA,MF,CriciГєma,24,3.0,0,5,2,40.0,1.67,0.67,0.00,0.00,0,0
Patrick de Paula,BRA,MF,Botafogo (RJ),24,0.3,0,2,0,0.0,6.00,0.00,0.00,,0,0
Paulinho,BRA,"FW,MF",AtlГ©tico Mineiro,23,22.1,8,37,19,51.4,1.67,0.86,0.19,0.37,1,1
Paulinho,BRA,MF,Vasco da Gama,27,0.3,0,1,1,100.0,3.33,3.33,0.00,0.00,0,0
Paulinho,BRA,MF,Corinthians,35,1.3,0,6,2,33.3,4.58,1.53,0.00,0.00,0,0
Caio Paulista,BRA,DF,Palmeiras,25,13.3,0,13,4,30.8,0.97,0.30,0.00,0.00,0,0
Cristian PavГіn,ARG,"MF,FW",GrГЄmio,28,12.1,1,34,11,32.4,2.82,0.91,0.03,0.09,0,0
Dimitri Payet,FRA,MF,Vasco da Gama,36,13.6,3,14,5,35.7,1.03,0.37,0.14,0.40,1,1
PedrГЈo,BRA,DF,AtlГ©tico Goianiense,31,6.5,0,4,2,50.0,0.61,0.31,0.00,0.00,0,0
Pedrinho,BRA,MF,AtlГ©tico Mineiro,25,2.3,0,4,0,0.0,1.74,0.00,0.00,,0,0
Pedro,BRA,FW,Flamengo,26,18.4,11,47,27,57.4,2.56,1.47,0.15,0.26,4,5
JoГЈo Pedro,BRA,FW,Cruzeiro,20,0.9,0,2,1,50.0,2.22,1.11,0.00,0.00,0,0
JoГЈo Pedro,BRA,MF,Vasco da Gama,18,4.8,0,5,2,40.0,1.04,0.42,0.00,0.00,0,0
JoГЈo Pedro,BRA,DF,Corinthians,20,0.1,0,0,0,,0.00,0.00,,,0,0
JoГЈo Pedro,ITA,FW,GrГЄmio,31,6.4,0,8,3,37.5,1.24,0.47,0.00,0.00,0,0
JoГЈo Pedro,BRA,DF,GrГЄmio,27,30.6,1,25,5,20.0,0.82,0.16,0.04,0.20,0,0
JoГЈo Pedro PepГЄ,BRA,MF,GrГЄmio,26,14.3,1,10,3,30.0,0.70,0.21,0.10,0.33,0,0
Peixoto,BRA,DF,Juventude,26,0.2,0,1,1,100.0,4.50,4.50,0.00,0.00,0,0
LГ©o PelГ©,BRA,DF,Vasco da Gama,27,30.0,0,8,2,25.0,0.27,0.07,0.00,0.00,0,0
Carlos de Pena,URU,MF,Bahia,31,7.6,0,18,2,11.1,2.37,0.26,0.00,0.00,0,0
Fabrizio Peralta,PAR,MF,Cruzeiro,21,3.1,0,3,1,33.3,0.98,0.33,0.00,0.00,0,0
LГ©o Pereira,BRA,DF,Flamengo,28,22.5,0,9,0,0.0,0.40,0.00,0.00,,0,0
Matheus Pereira,BRA,"FW,MF",Cruzeiro,27,31.4,8,68,22,32.4,2.17,0.70,0.12,0.36,0,0
Yago Pikachu,BRA,MF,Fortaleza,31,18.1,2,35,7,20.0,1.93,0.39,0.06,0.29,0,0
JoaquГ­n Piquerez,URU,"DF,MF",Palmeiras,25,14.6,2,31,7,22.6,2.12,0.48,0.03,0.14,1,1
Rafael Pires,BRA,GK,SГЈo Paulo,34,25.0,0,0,0,,0.00,0.00,,,0,0
Lucas Piton,BRA,DF,Vasco da Gama,23,30.0,1,14,2,14.3,0.47,0.07,0.07,0.50,0,0
Isidro Pitta,PAR,FW,CuiabГЎ,24,31.5,7,69,24,34.8,2.19,0.76,0.06,0.17,3,4
Gonzalo Plata,ECU,"MF,FW",Flamengo,23,7.6,1,13,4,30.8,1.71,0.53,0.08,0.25,0,0
Tomas Pochettino,ARG,MF,Fortaleza,27,18.3,5,35,10,28.6,1.91,0.55,0.14,0.50,0,1
Mateo Ponte,URU,DF,Botafogo (RJ),20,12.6,3,11,4,36.4,0.87,0.32,0.27,0.75,0,0
Werik PopГі,BRA,FW,CriciГєma,22,0.1,0,1,0,0.0,9.00,0.00,0.00,,0,0
Werik PopГі,BRA,FW,Juventude,22,0.5,0,1,0,0.0,2.14,0.00,0.00,,0,0
Gustavo Prado,BRA,MF,Internacional,18,7.4,1,16,9,56.3,2.17,1.22,0.06,0.11,0,0
Bruno Praxedes,BRA,"MF,FW",Athletico Paranaense,21,2.6,0,2,0,0.0,0.76,0.00,0.00,,0,0
Bruno Praxedes,BRA,MF,Vasco da Gama,21,2.9,0,4,2,50.0,1.37,0.69,0.00,0.00,0,0
Erick Pulgar,CHI,MF,Flamengo,30,19.4,0,10,3,30.0,0.51,0.15,0.00,0.00,0,0
Du Queiroz,BRA,MF,GrГЄmio,24,6.5,0,7,3,42.9,1.08,0.46,0.00,0.00,0,0
Igor Rabello,BRA,DF,AtlГ©tico Mineiro,28,10.7,0,7,1,14.3,0.65,0.09,0.00,0.00,0,0
Rafael,BRA,"DF,MF",Botafogo (RJ),33,0.0,0,0,0,,0.00,0.00,,,0,0
ZГ© Rafael,BRA,MF,Palmeiras,30,10.6,0,12,2,16.7,1.14,0.19,0.00,0.00,0,0
Rafinha,BRA,DF,SГЈo Paulo,38,5.8,0,0,0,,0.00,0.00,,,0,0
Railan,BRA,"DF,MF",CuiabГЎ,23,13.3,0,13,3,23.1,0.97,0.22,0.00,0.00,0,0
AndrГ© Ramalho,BRA,DF,Corinthians,31,16.5,0,10,2,20.0,0.61,0.12,0.00,0.00,0,0
Eric Ramires,BRA,MF,RB Bragantino,23,12.3,2,21,6,28.6,1.71,0.49,0.10,0.33,0,0
Ramon,BRA,DF,CuiabГЎ,22,29.3,2,20,4,20.0,0.68,0.14,0.10,0.50,0,0
Randerson,BRA,MF,AtlГ©tico Goianiense,19,0.2,0,0,0,,0.00,0.00,,,0,0
Pedro Rangel,BRA,GK,AtlГ©tico Goianiense,23,6.0,0,0,0,,0.00,0.00,,,0,0
Raniele,BRA,MF,Corinthians,27,25.4,0,25,10,40.0,0.98,0.39,0.00,0.00,0,0
Rafael RatГЈo,BRA,"FW,MF",Bahia,28,4.9,1,14,5,35.7,2.88,1.03,0.07,0.20,0,0
