Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Andreas Jungdal,DEN,GK,Westerlo,22,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Heriberto Jurado,MEX,MF,Cercle Brugge,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferran Jutglà,ESP,"FW,MF",Club Brugge,25,27,9,1117,12.4,8,2,10,8,0,0,2,0,0.64,0.16,0.81,0.64,0.81,8.0,80.0,35.0,43.8,4.2,1.84,0.13,0.29,0.0,16.0,34.0,10.0,19.0,3.0,13.0,0.0
Mathias Jorgensen,DEN,DF,Anderlecht,34,17,16,1417,15.7,0,2,2,0,0,0,4,1,0.0,0.13,0.13,0.0,0.13,0.5,9.0,1.0,11.1,0.57,0.06,0.0,0.0,0.0,14.0,7.0,0.0,0.0,16.0,15.0,0.0
Elton Kabangu,BEL,"FW,MF",Union SG,26,7,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0
Abdelkahar Kadri,ALG,"MF,FW",Kortrijk,24,23,19,1659,18.4,1,6,7,1,0,0,7,1,0.05,0.33,0.38,0.05,0.38,2.2,49.0,14.0,28.6,2.02,0.58,0.08,0.29,1.0,14.0,34.0,8.0,141.0,13.0,25.0,1.0
Emmanuel Kakou,CIV,DF,Cercle Brugge,19,17,14,1264,14.0,1,0,1,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07,1.0,11.0,4.0,36.4,0.78,0.28,0.09,0.25,0.0,19.0,24.0,0.0,4.0,26.0,16.0,0.0
Ismael Kandouss,MAR,MF,Gent,26,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takuro Kaneko,JPN,"MF,FW",Kortrijk,27,16,11,894,9.9,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,1.5,11.0,2.0,18.2,1.11,0.2,0.09,0.5,0.0,12.0,9.0,2.0,79.0,8.0,14.0,0.0
Ibrahim Karamoko,FRA,MF,Standard Liège,23,9,5,449,5.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.8,7.0,1.0,14.3,0.52,0.07,0.0,0.0,0.0,27.0,20.0,0.0,2.0,15.0,23.0,0.0
Konstantinos Karetsas,GRE,MF,Genk,16,25,14,1160,12.9,2,2,4,2,0,0,1,0,0.16,0.16,0.31,0.16,0.31,20.0,47.0,14.0,29.8,2.56,0.76,0.06,0.21,0.0,31.0,59.0,6.0,121.0,2.0,15.0,0.0
Dermane Karim,TOG,"MF,FW",Kortrijk,20,9,8,686,7.6,1,1,2,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,3.0,19.0,6.0,31.6,1.69,0.53,0.05,0.17,0.0,18.0,15.0,0.0,14.0,5.0,28.0,0.0
Joris Kayembe,COD,DF,Genk,29,29,27,2446,27.2,1,1,2,1,0,0,2,0,0.04,0.04,0.07,0.04,0.07,3.0,17.0,3.0,17.6,0.47,0.08,0.12,0.67,0.0,33.0,29.0,3.0,75.0,58.0,49.0,0.0
Charly Keita,FRA,"FW,MF",Beerschot,25,20,9,1004,11.2,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.55,22.0,7.0,31.8,1.97,0.63,0.05,0.14,0.0,18.0,21.0,4.0,1.0,2.0,4.0,0.0
Check Keita,FRA,DF,Charleroi,21,16,14,1187,13.2,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,37.5,0.46,0.17,0.25,0.67,1.0,11.0,9.0,2.0,1.0,8.0,21.0,0.0
Mandela Keita,BEL,"MF,DF",Antwerp,22,5,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,2.0,0.0
Gyrano Kerk,SUR,"FW,MF",Antwerp,28,29,28,2327,25.9,5,4,9,5,0,0,3,0,0.19,0.15,0.35,0.19,0.35,3.0,54.0,22.0,40.7,1.57,0.64,0.13,0.32,0.0,59.0,36.0,21.0,45.0,13.0,44.0,0.0
Anan Khalaili,ISR,"DF,FW",Union SG,19,24,16,1500,16.7,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,8.0,39.0,17.0,43.6,1.52,0.66,0.05,0.12,0.0,24.0,22.0,4.0,60.0,39.0,52.0,0.0
Bilal El Khannouss,MAR,MF,Genk,20,1,1,68,0.8,0,1,1,0,0,0,0,0,0.0,1.32,1.32,0.0,1.32,28.0,1.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Mads Kikkenborg,DEN,GK,Anderlecht,24,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Leo Kokubo,JPN,GK,Sint-Truiden,23,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0
Hiiro komori,JPN,"MF,FW",Sint-Truiden,23,4,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mory Konate,GUI,"DF,MF",Mechelen,30,3,1,123,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,4.0,3.0,0.0
Mohamed Kone,CIV,GK,Charleroi,22,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
Josue Kongolo,BEL,DF,Genk,18,4,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0
Tolis Konstantopoulos,GRE,DF,Beerschot,21,26,23,2162,24.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.8,18.0,9.0,50.0,0.6,0.3,0.11,0.22,0.0,31.0,30.0,1.0,8.0,48.0,57.0,0.0
Ayouba Kosiah,LBR,"FW,DF",Beerschot,23,16,5,535,5.9,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,0.3,14.0,3.0,21.4,2.29,0.49,0.07,0.33,0.0,15.0,6.0,11.0,0.0,1.0,6.0,0.0
Koen Kostons,NED,"FW,MF",Kortrijk,24,7,3,261,2.9,0,1,1,0,0,0,1,0,0.0,0.34,0.34,0.0,0.34,0.6,4.0,2.0,50.0,0.9,0.45,0.0,0.0,0.0,13.0,3.0,1.0,6.0,0.0,7.0,0.0
Samuel Kotto,CMR,DF,Gent,20,4,3,304,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,1.0,100.0,0.14,0.14,0.0,0.0,0.0,8.0,6.0,1.0,1.0,9.0,6.0,0.0
Florian Kruger,GER,FW,Beerschot,25,6,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,50.0,1.41,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Leandre Kuavita,BEL,MF,Standard Liège,20,30,23,1855,20.6,1,0,1,1,0,0,1,0,0.05,0.0,0.05,0.05,0.05,1.5,21.0,2.0,9.5,0.77,0.07,0.05,0.5,0.0,19.0,24.0,1.0,38.0,17.0,11.0,0.0
Sven Kums,BEL,MF,Gent,36,20,9,892,9.9,2,0,2,2,0,0,2,0,0.2,0.0,0.2,0.2,0.2,0.3,14.0,3.0,21.4,1.2,0.26,0.14,0.67,0.0,11.0,9.0,1.0,58.0,11.0,13.0,0.0
Hasan Kurucay,,DF,OH Leuven,26,18,17,1555,17.3,1,0,1,1,0,0,5,1,0.06,0.0,0.06,0.06,0.06,1.3,8.0,2.0,25.0,0.39,0.1,0.13,0.5,0.0,17.0,13.0,1.0,2.0,18.0,15.0,0.0
Roman Kvet,CZE,MF,Dender,26,28,24,1903,21.1,4,1,5,4,0,0,5,1,0.19,0.05,0.24,0.19,0.24,1.5,44.0,14.0,31.8,1.45,0.46,0.16,0.5,1.0,28.0,37.0,3.0,52.0,26.0,29.0,0.0
Grejohn Kyei,FRA,"FW,MF",Standard Liège,28,17,7,586,6.5,1,0,1,1,0,0,0,0,0.1538461538461538,0.0,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.7,10.0,5.0,50.0,1.52,0.76,0.1,0.2,0.0,14.0,4.0,5.0,3.0,1.0,2.0,0.0
Rajiv van La Parra,NED,"MF,FW",Beerschot,33,6,5,467,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,22.0,5.0,22.7,2.14,0.49,0.0,0.0,0.0,14.0,30.0,1.0,21.0,8.0,8.0,0.0
Bram Lagae,BEL,DF,Kortrijk,20,19,19,1665,18.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.9,13.0,4.0,30.8,0.67,0.21,0.08,0.25,0.0,23.0,12.0,0.0,10.0,29.0,15.0,0.0
Hugo Lambotte,BEL,MF,Sint-Truiden,18,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Lamine Bayo,GUI,FW,Antwerp,26,6,3,248,2.8,0,1,1,0,0,0,0,0,0.0,0.36,0.36,0.0,0.36,2.8,14.0,7.0,50.0,2.05,1.02,0.0,0.0,0.0,6.0,1.0,5.0,1.0,0.0,2.0,0.0
Didier Lamkel Ze,CMR,FW,Sint-Truiden,27,9,7,641,7.1,4,0,4,3,1,2,4,0,0.56,0.0,0.56,0.42,0.42,0.5,22.0,9.0,40.9,2.52,1.03,0.14,0.33,0.0,7.0,25.0,7.0,10.0,0.0,1.0,0.0
Senne Lammens,BEL,GK,Antwerp,22,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
Amando Lapage,BEL,DF,Westerlo,19,3,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0
Loic Lapoussin,MAD,DF,Union SG,28,12,12,1038,11.5,2,3,5,2,0,0,2,0,0.1739130434782608,0.2608695652173913,0.4347826086956521,0.1739130434782608,0.4347826086956521,2.5,34.0,12.0,35.29,1.99,0.7,0.12,0.33,0.0,13.0,24.0,2.0,69.0,27.0,23.0,0.0
Lion Lauberbach,GER,FW,Mechelen,26,25,15,1379,15.3,3,2,5,3,0,0,4,0,0.2,0.13,0.33,0.2,0.33,1.0,62.0,25.0,40.3,2.83,1.14,0.13,0.32,0.0,29.0,30.0,12.0,27.0,2.0,13.0,0.0
Henry Lawrence,ENG,DF,Standard Liège,22,26,24,2075,23.1,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,1.5,6.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,24.0,40.0,0.0,15.0,40.0,25.0,0.0
Theo Leoni,BEL,"MF,DF",Anderlecht,24,22,16,1359,15.1,2,0,2,2,0,0,2,0,0.13,0.0,0.13,0.13,0.13,3.0,16.0,5.0,31.3,0.9,0.28,0.13,0.4,0.0,19.0,14.0,2.0,24.0,21.0,21.0,0.0
Fedde Leysen,BEL,DF,Union SG,21,23,16,1562,17.4,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,25.0,0.61,0.15,0.0,0.0,0.0,19.0,9.0,0.0,8.0,26.0,27.0,0.0
Tobe Leysen,BEL,GK,OH Leuven,22,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0
Jonas Lietaert,BEL,DF,Cercle Brugge,20,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
Kilian Lokembo,BEL,DF,Standard Liège,22,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ridwane M'Barki,BEL,"DF,MF",Dender,30,7,0,148,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,13.0,3.0,4.0,0.0
Ali Maamar,MAR,"DF,MF",Anderlecht,19,6,5,425,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,11.1,0.74,0.08,0.0,0.0,0.0,11.0,14.0,1.0,23.0,6.0,14.0,0.0
Kevin Mac Allister,ARG,DF,Union SG,26,26,23,2030,22.6,2,0,2,2,0,0,9,1,0.09,0.0,0.09,0.09,0.09,7.5,16.0,5.0,31.3,0.52,0.16,0.13,0.4,1.0,60.0,22.0,0.0,17.0,54.0,77.0,0.0
Koki Machida,JPN,DF,Union SG,26,25,22,1886,21.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5.0,45.5,0.37,0.17,0.09,0.2,1.0,26.0,12.0,4.0,17.0,35.0,34.0,0.0
Nicolas Madsen,DEN,MF,Westerlo,24,4,4,356,4.0,1,1,2,0,1,1,0,0,0.25,0.25,0.51,0.0,0.25,3.5,6.0,1.0,16.7,1.52,0.25,0.0,0.0,0.0,2.0,2.0,1.0,3.0,5.0,5.0,0.0
Mathieu Maertens,BEL,"FW,MF",OH Leuven,29,12,11,774,8.6,1,1,2,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1.8,25.0,12.0,48.0,2.76,1.33,0.04,0.08,0.0,14.0,17.0,9.0,10.0,5.0,5.0,0.0
Gary Magnee,BEL,"DF,MF",Cercle Brugge,24,25,22,1726,19.2,0,3,3,0,0,0,0,1,0.0,0.16,0.16,0.0,0.16,1.5,19.0,4.0,21.1,0.85,0.18,0.0,0.0,0.0,15.0,17.0,2.0,195.0,24.0,33.0,0.0
Mark Mampasi,UKR,DF,Kortrijk,21,14,12,1038,11.5,1,0,1,1,0,0,4,1,0.09,0.0,0.09,0.09,0.09,0.5,7.0,1.0,14.3,0.61,0.09,0.14,1.0,1.0,16.0,5.0,0.0,4.0,17.0,12.0,1.0
Jose Marsà,ESP,DF,Mechelen,22,29,28,2269,25.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,3.0,21.4,0.43,0.09,0.07,0.33,0.0,38.0,32.0,1.0,44.0,31.0,36.0,0.0
Ar'jany Martha,CUW,"MF,FW",Beerschot,20,16,6,585,6.5,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,0.7,5.0,1.0,20.0,0.7,0.14,0.0,0.0,0.0,6.0,7.0,0.0,8.0,9.0,14.0,0.0
Keres Masangu,BEL,DF,Dender,24,3,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0
Davor Matijas,CRO,GK,Beerschot,24,10,9,852,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
Herve Matthys,BEL,DF,Beerschot,28,11,11,907,10.1,1,1,2,0,1,1,1,0,0.1,0.1,0.2,0.0,0.1,0.6,5.0,2.0,40.0,0.5,0.2,0.0,0.0,0.0,8.0,3.0,0.0,17.0,21.0,4.0,1.0
Noam Mayoka-Tika,BEL,MF,Charleroi,20,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,1.0,100.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Youssef Maziz,FRA,"MF,FW",OH Leuven,26,30,17,1423,15.8,3,1,4,3,0,0,4,0,0.19,0.06,0.25,0.19,0.25,1.3,47.0,16.0,34.0,2.25,0.77,0.06,0.19,0.0,26.0,33.0,1.0,107.0,16.0,7.0,0.0
Jay-David Mbalanda,FRA,FW,Sint-Truiden,17,3,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Noah Mbamba,BEL,MF,Dender,19,6,2,199,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,7.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,6.0,14.0,2.0,2.0,8.0,12.0,0.0
Loic Mbe Soh,FRA,DF,Beerschot,23,22,22,1980,22.0,1,0,1,1,0,0,1,0,0.05,0.0,0.05,0.05,0.05,2.0,11.0,3.0,27.3,0.39,0.11,0.09,0.33,0.0,25.0,8.0,3.0,1.0,23.0,29.0,0.0
Isaac Mbenza,BEL,FW,Charleroi,28,28,9,925,10.3,3,1,4,3,0,0,1,0,0.29,0.1,0.39,0.29,0.39,0.8,35.0,12.0,34.3,2.71,0.93,0.09,0.25,0.0,9.0,10.0,6.0,103.0,9.0,11.0,0.0
Mark McKenzie,USA,FW,Genk,25,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dire Mebude,SCO,FW,Westerlo,20,17,7,680,7.6,2,1,3,2,0,0,1,0,0.26,0.13,0.4,0.26,0.4,1.0,17.0,5.0,29.4,2.25,0.66,0.12,0.4,0.0,6.0,20.0,0.0,14.0,4.0,6.0,0.0
Brandon Mechele,BEL,DF,Club Brugge,31,30,30,2700,30.0,3,1,4,3,0,0,2,0,0.1,0.03,0.13,0.1,0.13,3.5,21.0,7.0,33.3,0.52,0.17,0.14,0.43,0.0,24.0,18.0,0.0,0.0,52.0,44.0,0.0
Nayel Mehssatou,CHI,"MF,DF",Kortrijk,22,29,25,2266,25.2,0,2,2,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,2.2,31.0,13.0,41.9,1.01,0.42,0.13,0.31,0.0,17.0,38.0,0.0,54.0,20.0,37.0,0.0
Bjorn Meijer,NED,DF,Club Brugge,21,5,3,235,2.6,0,2,2,0,0,0,0,0,0.0,0.77,0.77,0.0,0.77,4.0,7.0,3.0,42.9,1.76,0.76,0.0,0.0,0.0,2.0,6.0,1.0,16.0,0.0,4.0,0.0
Hamza Mendyl,MAR,DF,OH Leuven,26,12,6,581,6.5,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,1.0,2.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,10.0,5.0,1.0,14.0,3.0,13.0,0.0
Billal Messaoudi,ALG,FW,Kortrijk,26,15,6,625,6.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.6,21.0,6.0,28.6,3.02,0.86,0.0,0.0,0.0,8.0,7.0,6.0,4.0,0.0,2.0,0.0
Senna Miangue,BEL,DF,Cercle Brugge,27,16,7,802,8.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.45,4.0,2.0,50.0,0.45,0.22,0.0,0.0,0.0,10.0,4.0,1.0,4.0,8.0,6.0,0.0
Simion Michez,BEL,"DF,MF",Beerschot,22,6,6,483,5.4,2,1,3,2,0,0,2,0,0.37,0.19,0.56,0.37,0.56,1.5,4.0,2.0,50.0,0.75,0.37,0.5,1.0,0.0,7.0,13.0,0.0,8.0,7.0,9.0,0.0
Simon Mignolet,BEL,GK,Club Brugge,36,30,30,2669,29.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0
Jovan Mijatovic,SRB,"FW,MF",OH Leuven,19,5,1,132,1.5,1,0,1,1,0,0,1,0,0.68,0.0,0.68,0.68,0.68,3.0,6.0,4.0,66.7,3.12,2.08,0.17,0.25,1.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0
Alan Minda,ECU,"FW,MF",Cercle Brugge,21,26,14,1303,14.5,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,3.0,35.0,15.0,42.9,2.27,0.97,0.03,0.07,0.0,4.0,9.0,4.0,24.0,4.0,7.0,0.0
David Mindombe,BEL,DF,Sint-Truiden,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Stefan Mitrovic,SRB,"FW,MF",OH Leuven,21,20,15,1260,14.0,2,1,3,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,1.5,44.0,10.0,22.7,2.58,0.59,0.05,0.2,0.0,23.0,18.0,5.0,42.0,7.0,15.0,0.0
Stefan Mitrovic,SRB,"FW,MF",OH Leuven,21,20,15,1260,14.0,2,1,3,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,1.5,44.0,10.0,22.7,2.58,0.59,0.05,0.2,0.0,11.0,6.0,0.0,0.0,15.0,14.0,0.0
Stefan Mitrovic,SRB,"FW,MF",OH Leuven,21,20,15,1260,14.0,2,1,3,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,1.5,3.0,1.0,33.3,0.2,0.07,0.0,0.0,0.0,23.0,18.0,5.0,42.0,7.0,15.0,0.0
Stefan Mitrovic,SRB,"FW,MF",OH Leuven,21,20,15,1260,14.0,2,1,3,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,1.5,3.0,1.0,33.3,0.2,0.07,0.0,0.0,0.0,11.0,6.0,0.0,0.0,15.0,14.0,0.0
Stefan Mitrovic,SRB,DF,Gent,34,17,13,1252,13.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.65,44.0,10.0,22.7,2.58,0.59,0.05,0.2,0.0,23.0,18.0,5.0,42.0,7.0,15.0,0.0
Stefan Mitrovic,SRB,DF,Gent,34,17,13,1252,13.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.65,44.0,10.0,22.7,2.58,0.59,0.05,0.2,0.0,11.0,6.0,0.0,0.0,15.0,14.0,0.0
Stefan Mitrovic,SRB,DF,Gent,34,17,13,1252,13.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.65,3.0,1.0,33.3,0.2,0.07,0.0,0.0,0.0,23.0,18.0,5.0,42.0,7.0,15.0,0.0
Stefan Mitrovic,SRB,DF,Gent,34,17,13,1252,13.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.65,3.0,1.0,33.3,0.2,0.07,0.0,0.0,0.0,11.0,6.0,0.0,0.0,15.0,14.0,0.0
Anthony Moris,LUX,GK,Union SG,34,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.8,2.0,1.0,50.0,0.05,0.02,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0
Kerim Mrabti,SWE,"MF,FW",Mechelen,30,27,25,2010,22.3,2,2,4,1,1,2,6,0,0.09,0.09,0.18,0.04,0.13,2.0,29.0,9.0,31.0,1.04,0.32,0.03,0.11,0.0,23.0,23.0,4.0,39.0,17.0,25.0,0.0
Suphanat Mueanta,THA,"FW,MF",OH Leuven,21,2,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0
Visar Musliu,MKD,DF,Sint-Truiden,29,3,2,189,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.65,3.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,20.0,12.0,0.0
Moussa N'Diaye,SEN,DF,Anderlecht,22,22,20,1611,17.9,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,28.6,0.33,0.09,0.0,0.0,1.0,28.0,52.0,0.0,26.0,36.0,25.0,0.0
Konan N'dri,CIV,"FW,MF",OH Leuven,23,24,17,1587,17.6,3,2,5,3,0,0,2,0,0.17,0.11,0.28,0.17,0.28,1.4,44.0,14.0,31.8,2.5,0.79,0.07,0.21,0.0,29.0,32.0,6.0,34.0,6.0,21.0,0.0
Flavio Nazinho,POR,DF,Cercle Brugge,21,22,11,1172,13.0,1,4,5,1,0,0,6,0,0.08,0.31,0.38,0.08,0.38,3.0,24.0,5.0,20.8,1.4,0.29,0.04,0.2,0.0,27.0,14.0,0.0,146.0,22.0,27.0,0.0
James Ndjeungoue,CMR,DF,Kortrijk,21,4,2,222,2.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6,4.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,7.0,1.0,1.0,3.0,22.0,8.0,0.0
Roman Neustadter,RUS,DF,Westerlo,36,17,16,1441,16.0,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,0.15,8.0,4.0,50.0,0.43,0.21,0.13,0.25,0.0,13.0,5.0,0.0,0.0,26.0,15.0,0.0
Steve Ngoura,FRA,FW,Cercle Brugge,19,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,12.0,4.0,33.3,2.78,0.93,0.0,0.0,0.0,4.0,8.0,4.0,2.0,0.0,1.0,0.0
