Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Dominik JanoЕЎek,CZE,MF,NAC Breda,26.0,12.9,0,0,0,6,18,0,86,3,5,,,0
Dies Janse,NED,DF,Ajax,18.0,3.7,0,0,0,3,8,0,1,2,3,,,0
Kai Jansen,NED,MF,Heerenveen,17.0,0.2,0,0,0,0,0,0,0,0,0,,,0
Ali Jasim,IRQ,MF,Almere City,20.0,4.9,0,0,0,1,2,0,8,3,6,,,0
Victor Jensen,DEN,MF,Utrecht,24.0,12.1,1,0,0,20,13,1,3,5,16,,,0
Owen Johnson,NED,FW,Fortuna Sittard,18.0,0.1,0,0,0,1,0,0,1,0,0,,,0
Miliano Jonathans,IDN,"MF,FW",Utrecht,20.0,3.0,0,0,0,4,6,1,8,4,2,,,0
Luuk de Jong,NED,FW,PSV,33.0,27.2,3,0,0,16,23,5,6,4,12,,,0
Tika de Jonge,NED,MF,Groningen,21.0,14.1,3,1,1,15,8,0,29,19,23,,,0
Patrick Joosten,NED,MF,Willem II,28.0,7.3,0,0,0,6,13,1,28,4,3,,,0
Mauro JГєnior,BRA,"DF,MF",PSV,25.0,22.3,1,0,0,14,9,2,60,20,36,,,0
Hidde Jurjus,NED,GK,Groningen,30.0,2.0,0,0,0,0,0,0,0,0,0,,,0
DaniГ«l van Kaam,NED,MF,Heracles Almelo,24.0,12.0,2,0,0,5,9,0,54,6,14,,,0
Junior Kadile,FRA,"MF,FW",Almere City,21.0,24.5,6,0,0,55,21,4,57,13,25,,,0
Jochem van de Kamp,NED,MF,Almere City,20.0,22.2,5,0,0,25,25,2,9,32,32,,,1
Ahmetcan Kaplan,TUR,DF,Ajax,21.0,6.2,2,0,0,12,7,0,1,3,7,,,0
Daniel Karlsbakk,NOR,FW,Heerenveen,21.0,3.0,2,0,0,8,0,0,0,1,0,,,0
Souffian El Karouani,MAR,DF,Utrecht,23.0,33.0,3,0,0,43,43,2,287,31,57,,,0
Rick Karsdorp,NED,DF,PSV,29.0,7.5,1,0,0,9,1,0,21,7,13,,,0
Neraysho Kasanwirjo,NED,DF,Feyenoord,22.0,1.3,0,0,0,0,0,0,1,2,1,,,0
Denso Kasius,NED,DF,AZ Alkmaar,21.0,15.1,2,0,0,11,8,1,83,25,24,,,0
Adam Kayed,PLE,MF,NAC Breda,22.0,5.2,0,0,0,5,0,1,7,2,9,,,0
Dennis Kaygin,GER,MF,Willem II,20.0,2.6,0,0,0,0,2,0,2,2,1,,,0
Emilio Kehrer,GER,"MF,FW",Willem II,22.0,10.9,1,0,0,8,7,1,37,3,15,,,0
Fabian de Keijzer,NED,GK,Heracles Almelo,24.0,34.0,1,0,0,1,5,0,0,0,0,,,0
Boy Kemper,NED,DF,NAC Breda,25.0,26.7,9,0,0,40,35,1,70,28,28,,,0
Sam Kersten,NED,DF,Heerenveen,26.0,26.4,2,0,0,14,13,0,3,30,32,,,0
Joey Kesting,NED,GK,RKC Waalwijk,23.0,3.0,0,0,0,0,0,0,0,0,0,,,0
Joshua Kitolano,NOR,MF,Sparta Rotterdam,22.0,17.6,2,0,0,15,20,0,14,14,20,,,0
Mathias KjГёlГё,NOR,MF,Twente,23.0,9.6,0,0,0,8,8,0,3,12,13,,,0
Davy Klaassen,NED,MF,Ajax,31.0,24.2,0,0,0,21,20,1,7,17,13,,,0
Mike Kleijn,NED,DF,Sparta Rotterdam,19.0,3.1,0,0,0,1,4,0,12,4,6,,,0
Mats KГ¶hlert,GER,DF,Heerenveen,26.0,27.5,2,1,0,31,23,3,191,38,36,,,0
Don-Angelo Konadu,NED,FW,Ajax,18.0,0.7,0,0,0,2,4,0,0,0,0,,,0
Terence Kongolo,NED,DF,NAC Breda,30.0,9.8,0,0,0,4,9,0,6,25,13,,,0
Luuk Koopmans,NED,GK,Fortuna Sittard,30.0,6.0,3,0,0,0,0,0,0,0,0,,,0
Peer Koopmeiners,NED,MF,AZ Alkmaar,24.0,31.0,3,0,0,58,17,0,118,34,64,,,0
Hasip KorkmazyГјrek,GER,MF,Fortuna Sittard,21.0,0.1,0,0,0,0,0,0,0,0,0,,,0
Roy Kortsmit,NED,GK,NAC Breda,31.0,1.0,1,0,0,1,0,0,0,0,0,,,0
Martin KoscelnГ­k,SVK,"DF,MF",NAC Breda,29.0,1.2,1,0,0,0,1,0,2,4,3,,,0
Kacper Kostorz,POL,"MF,FW",NAC Breda,24.0,6.3,1,0,0,13,5,1,0,1,2,,,0
Joris Kramer,NED,DF,Go Ahead Eagles,27.0,33.8,2,0,0,26,18,0,7,27,15,,,0
Michiel Kramer,NED,FW,RKC Waalwijk,35.0,9.4,3,1,0,11,8,7,2,0,1,,,0
Filip Krastev,BUL,"MF,FW",Zwolle,22.0,24.2,6,0,0,39,44,2,27,36,47,,,0
Wessel Kuhn,NED,DF,PSV,17.0,0.1,0,0,0,0,0,0,1,2,0,,,0
