Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
David,BRA,"MF,FW",Vasco da Gama,28,17.6,7,1,1,24,23,9,15,8,15,,,0
David,BRA,"FW,MF",Juventude,24,0.7,0,0,0,0,1,0,2,0,0,,,0
David,BRA,MF,CuiabГЎ,16,0.1,0,0,0,0,2,0,1,0,0,,,0
Giorgian De Arrascaeta,URU,MF,Flamengo,29,11.2,2,0,0,11,29,2,62,3,11,,,0
NicolГЎs De La Cruz,URU,MF,Flamengo,26,11.2,3,0,0,20,38,0,40,8,14,,,0
Sergio Antonio De Luiz Junior,BRA,"FW,MF",Vasco da Gama,28,0.7,1,0,0,3,5,1,5,0,1,,,0
Gabriel Delfim,BRA,GK,AtlГ©tico Mineiro,21,1.0,0,0,0,0,0,0,0,0,0,,,0
Denilson,BRA,MF,CuiabГЎ,22,22.4,8,0,0,37,25,0,32,11,25,,,0
Derek,BRA,FW,AtlГ©tico Goianiense,26,11.0,1,1,0,23,17,2,5,4,10,,,0
Deyverson,BRA,FW,CuiabГЎ,32,13.5,4,0,0,13,30,11,2,1,3,,,0
Lucas Di Yorio,ARG,"FW,MF",Athletico Paranaense,27,8.9,1,0,0,12,11,2,9,3,4,,,0
Matheus Dias,BRA,MF,Internacional,21,0.8,1,0,0,2,1,0,1,1,2,,,0
Lautaro DГ­az,ARG,"FW,MF",Cruzeiro,25,10.7,1,0,0,14,3,2,10,3,7,,,0
Diego,BRA,DF,SГЈo Paulo,24,9.9,2,0,0,15,2,0,5,12,8,,,0
Dodi,BRA,MF,GrГЄmio,27,26.7,6,1,0,32,33,0,4,40,44,,,0
Maxime Dominguez,SUI,MF,Vasco da Gama,27,2.7,2,0,0,10,6,1,2,3,5,,,0
Matheus Donelli,BRA,GK,Corinthians,21,7.0,0,0,0,0,0,0,0,0,0,,,0
Thiago dos Santos,BRA,DF,Fluminense,34,23.8,9,0,0,25,24,1,1,30,24,,,0
Lucca Drummond,BRA,FW,Internacional,20,1.8,0,0,0,4,2,0,0,0,0,,,0
