Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
ГЃlvaro RodrГ­guez,URU,FW,Getafe,20,9.5,2,25,10,40.0,2.64,1.06,0.08,0.2,0,0
Г“scar RodrГ­guez Arnaiz,ESP,MF,LeganГ©s,26,14.8,1,33,6,18.2,2.23,0.41,0.03,0.17,0,0
Arturo RodrГ­guez,ESP,FW,Las Palmas,17,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
DamiГЎn RodrГ­guez,ESP,MF,Celta Vigo,21,10.3,0,4,0,0.0,0.39,0.0,0.0,0.0,0,0
Dani RodrГ­guez,ESP,"MF,FW",Mallorca,36,24.0,4,31,10,32.3,1.29,0.42,0.13,0.4,0,0
Daniel Rodriguez,ESP,MF,Barcelona,18,0.4,0,2,0,0.0,4.86,0.0,0.0,0.0,0,0
James RodrГ­guez,COL,MF,Rayo Vallecano,33,1.6,0,4,2,50.0,2.57,1.29,0.0,0.0,0,0
Javi RodrГ­guez,ESP,DF,Celta Vigo,21,27.9,3,12,5,41.7,0.43,0.18,0.25,0.6,0,0
Jesus RodrГ­guez,ESP,MF,Real Betis,18,12.3,2,23,8,34.8,1.86,0.65,0.09,0.25,0,0
Kirian RodrГ­guez,ESP,MF,Las Palmas,28,19.5,0,21,9,42.9,1.08,0.46,0.0,0.0,0,0
Ricardo RodrГ­guez,SUI,DF,Real Betis,31,14.2,0,5,1,20.0,0.35,0.07,0.0,0.0,0,0
Rodrygo,BRA,"MF,FW",Real Madrid,23,21.4,6,54,20,37.0,2.52,0.93,0.11,0.3,0,0
Leo RomГЎn,ESP,GK,Mallorca,24,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Carlos Romero,ESP,"DF,MF",Espanyol,22,28.4,2,29,6,20.7,1.02,0.21,0.07,0.33,0,0
Isaac Romero,ESP,FW,Sevilla,24,24.0,4,54,20,37.0,2.25,0.83,0.07,0.2,0,1
Luka Romero,ARG,"MF,FW",AlavГ©s,19,2.2,0,2,0,0.0,0.9,0.0,0.0,0.0,0,1
Oriol Romeu,ESP,MF,Girona,32,15.1,0,5,1,20.0,0.33,0.07,0.0,0.0,0,0
Vitor Roque,BRA,FW,Real Betis,19,13.7,4,41,19,46.3,2.99,1.38,0.1,0.21,0,0
Valentin Rosier,FRA,DF,LeganГ©s,27,28.8,1,14,4,28.6,0.49,0.14,0.07,0.25,0,0
Antonio RГјdiger,GER,DF,Real Madrid,31,25.5,0,24,4,16.7,0.94,0.16,0.0,0.0,0,0
Aitor Ruibal,ESP,"DF,FW",Real Betis,28,14.6,1,16,4,25.0,1.1,0.27,0.06,0.25,0,0
Abel Ruiz,ESP,FW,Girona,24,15.0,4,23,9,39.1,1.54,0.6,0.13,0.33,1,2
FerrГЎn Ruiz,ESP,DF,Girona,21,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Youssouf Sabaly,SEN,DF,Real Betis,31,17.6,0,5,0,0.0,0.28,0.0,0.0,0.0,0,0
Umar Sadiq,NGA,FW,Real Sociedad,27,11.7,5,25,7,28.0,2.14,0.6,0.2,0.71,0,0
Jorge SГЎenz,ESP,DF,LeganГ©s,27,18.8,1,8,3,37.5,0.43,0.16,0.13,0.33,0,0
Jan Salas,ESP,MF,Mallorca,18,0.5,0,2,0,0.0,4.19,0.0,0.0,0.0,0,0
Kike Salas,ESP,DF,Sevilla,22,24.9,3,23,7,30.4,0.92,0.28,0.13,0.43,0,0
Albert Sambi Lokonga,BEL,MF,Sevilla,24,16.3,0,13,5,38.5,0.8,0.31,0.0,0.0,0,0
Chuky san jose,ESP,"MF,FW",Valladolid,20,8.1,2,16,7,43.8,1.98,0.87,0.13,0.29,0,0
Oihan Sancet,ESP,MF,Athletic Club,24,18.0,15,50,20,40.0,2.78,1.11,0.24,0.6,3,3
Antonio SГЎnchez,ESP,"MF,DF",Mallorca,27,15.5,0,17,2,11.8,1.1,0.13,0.0,0.0,0,0
IvГЎn SГЎnchez,ESP,MF,Valladolid,31,15.6,2,15,6,40.0,0.96,0.38,0.13,0.33,0,0
Javi SГЎnchez,ESP,DF,Valladolid,27,22.5,2,11,5,45.5,0.49,0.22,0.18,0.4,0,0
Juanlu SГЎnchez,ESP,"MF,DF",Sevilla,20,19.1,4,13,6,46.2,0.68,0.31,0.31,0.67,0,0
Manu SГЎnchez,ESP,DF,AlavГ©s,23,29.3,1,12,2,16.7,0.41,0.07,0.08,0.5,0,0
Maroan Sannadi,MAR,FW,Athletic Club,23,8.4,1,19,7,36.8,2.27,0.84,0.05,0.14,0,0
Yellu Santiago,ESP,MF,Getafe,20,4.1,0,1,0,0.0,0.24,0.0,0.0,0.0,0,0
