Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Daniele Ghilardi,ITA,DF,Hellas Verona,21,22.5,7,1,0,33,29,0,10,30,28,,,0
Lautaro Gianetti,ARG,DF,Udinese,30,9.8,4,0,0,7,0,0,0,15,11,,,2
Samuel Gigot,FRA,DF,Lazio,30,7.6,2,0,0,8,9,1,0,14,4,,,0
Mario Gila,ESP,DF,Lazio,23,30.5,8,0,0,32,30,0,5,30,38,,,1
Billy Gilmour,SCO,MF,Napoli,23,13.1,0,0,0,14,16,0,18,9,14,,,0
Santiago GimГ©nez,MEX,FW,Milan,23,7.4,3,1,0,11,4,7,2,1,3,,,0
Gvidas Gineitis,LTU,MF,Torino,20,15.9,5,0,0,23,23,2,50,18,15,,,0
Ben Godfrey,ENG,"DF,MF",Atalanta,26,0.3,0,0,0,1,0,0,0,0,0,,,0
Saba Goglichidze,GEO,DF,Empoli,20,28.2,3,1,0,27,34,1,5,33,41,,,0
Edoardo Goldaniga,ITA,DF,Como,30,28.1,12,1,1,44,36,4,9,31,21,,,0
Pierluigi Gollini,ITA,GK,Genoa,29,7.0,1,0,0,0,0,0,0,0,0,,,0
NicolГЎs GonzГЎlez,ARG,"MF,FW",Juventus,26,19.4,3,0,0,30,40,6,16,9,14,,,0
Robin Gosens,GER,"DF,MF",Fiorentina,30,28.0,6,0,0,24,22,9,65,20,34,,,0
Lucas Gourna-Douath,FRA,MF,Roma,20,2.5,2,0,0,9,5,1,2,0,4,,,0
Alberto Grassi,ITA,MF,Empoli,29,24.5,8,0,0,28,34,1,11,32,20,,,0
MattГ©o Guendouzi,FRA,MF,Lazio,25,36.3,7,0,0,28,35,1,20,33,17,,,0
Frederic Guilbert,FRA,DF,Lecce,29,27.1,3,2,0,33,24,1,54,47,37,,,0
Albert GuГ°mundsson,ISL,"FW,MF",Fiorentina,27,14.1,2,0,0,13,18,3,24,6,5,,,0
Emmanuel Gyasi,GHA,MF,Empoli,30,35.7,5,0,0,56,21,14,37,12,29,,,1
Christian GytkjГ¦r,DEN,FW,Venezia,34,8.4,0,0,0,11,5,7,0,1,4,,,0
Nicolas Haas,SUI,MF,Empoli,28,3.2,1,0,0,11,3,0,0,3,8,,,0
Saad El Haddad,MAR,MF,Venezia,19,0.3,0,0,0,1,1,0,0,0,0,,,0
Antoine Hainaut,FRA,"DF,MF",Parma,22,13.4,4,0,0,13,16,1,26,15,13,,,0
Mohamed Haj,TUN,MF,Parma,19,5.0,4,0,0,6,11,0,7,3,1,,,0
Ridgeciano Haps,SUR,"MF,DF",Venezia,31,15.2,3,0,0,14,15,1,26,8,16,,,0
Abdou Harroui,NED,"MF,FW",Hellas Verona,26,5.1,1,0,0,10,3,0,9,2,5,,,0
Liam Henderson,SCO,MF,Empoli,28,26.0,10,0,0,83,23,2,97,15,22,,,0
Mario Hermoso,ESP,DF,Roma,29,2.8,2,1,1,7,1,0,3,4,1,,,0
Theo HernГЎndez,FRA,"DF,MF",Milan,26,30.0,4,1,0,17,43,3,111,16,30,,,0
Hernani,BRA,MF,Parma,30,14.7,7,0,0,33,25,1,33,19,26,,,0
Isak Hien,SWE,DF,Atalanta,25,25.9,10,0,0,36,19,0,1,30,30,,,0
Emil Holm,SWE,DF,Bologna,24,12.6,3,0,0,16,24,1,42,9,21,,,0
Mats Hummels,GER,DF,Roma,35,10.2,1,0,0,10,4,0,2,25,13,,,1
Elseid Hysaj,ALB,DF,Lazio,30,4.7,2,1,1,5,1,0,18,5,6,,,0
Arijon IbrahimoviД‡,GER,MF,Lazio,18,0.1,0,0,0,0,0,0,0,0,0,,,0
Jay Idzes,IDN,DF,Venezia,24,34.7,5,0,0,50,12,3,6,28,30,,,0
Jonathan Ikone,FRA,MF,Fiorentina,26,9.7,1,0,0,6,14,2,2,1,11,,,0
Ivan IliД‡,SRB,MF,Torino,23,10.2,4,0,0,11,22,1,27,5,2,,,0
