Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Fabio GonzГЎlez,ESP,MF,Las Palmas,27,0.6,0,0,0,1,0,0,1,0,0,,,0
Peter GonzГЎlez,DOM,MF,Getafe,22,5.3,1,0,0,9,10,2,14,3,6,,,0
Urko GonzГЎlez,ESP,MF,Real Sociedad,23,15.8,3,0,0,16,11,1,3,8,26,,,0
Andoni Gorosabel,ESP,DF,Athletic Club,27,16.5,5,0,0,23,4,1,41,17,29,,,0
JosГ© Gragera,ESP,MF,Espanyol,23,6.3,0,0,0,18,8,0,0,5,15,,,0
Dominik Greif,SVK,GK,Mallorca,27,31.0,1,0,0,0,3,0,0,0,0,,,0
Antoine Griezmann,FRA,"FW,MF",AtlГ©tico Madrid,33,27.4,2,0,0,11,26,14,140,6,18,,,0
Florian Grillitsch,AUT,MF,Valladolid,28,6.9,1,0,0,6,12,0,6,4,8,,,0
Vicente Guaita,ESP,GK,Celta Vigo,37,34.0,0,0,0,0,5,0,0,0,0,,,0
Sergi Guardiola,ESP,FW,Rayo Vallecano,33,4.0,1,0,0,9,7,2,4,1,4,,,0
Nemanja Gudelj,SRB,"MF,DF",Sevilla,32,27.7,6,0,0,26,14,0,31,27,26,,,0
Javier Guerra,ESP,MF,Valencia,21,28.7,5,0,0,34,30,1,44,22,28,,,0
Ander Guevara,ESP,MF,AlavГ©s,27,21.6,3,0,0,38,17,0,4,14,30,,,0
Pape Gueye,SEN,"MF,FW",Villarreal,25,24.7,6,2,1,31,62,4,21,23,28,,,0
Hugo GuillamГіn,ESP,MF,Valencia,24,4.0,2,0,0,6,4,1,1,5,8,,,0
Carlos Guirao,ESP,MF,Real Betis,21,1.2,0,0,0,4,0,0,0,3,4,,,0
Arda GГјler,TUR,"MF,FW",Real Madrid,19,13.9,1,0,0,15,31,4,57,7,16,,,0
Gerard Gumbau,ESP,MF,Rayo Vallecano,29,9.4,4,0,0,21,11,1,38,5,12,,,0
Jon Guridi,ESP,MF,AlavГ©s,29,23.1,6,0,0,35,14,5,17,13,23,,,0
Gorka Guruzeta,ESP,FW,Athletic Club,27,20.4,2,0,0,41,21,7,6,9,8,,,0
Miguel GutiГ©rrez,ESP,"DF,MF",Girona,23,27.3,4,0,0,29,34,6,153,17,24,,,0
Munir El Haddadi,MAR,"MF,FW",LeganГ©s,28,9.6,1,1,0,14,39,7,13,1,9,,,0
SГ©bastien Haller,CIV,FW,LeganГ©s,30,4.5,0,0,0,4,5,7,0,0,0,,,0
Henrique,BRA,DF,Valladolid,30,3.9,0,0,0,5,9,0,3,3,2,,,0
Javi HernГЎndez,ESP,DF,LeganГ©s,26,26.5,6,0,0,49,16,5,52,22,15,,,0
Aridane HernГЎndez,ESP,DF,Rayo Vallecano,35,11.4,1,0,0,5,10,0,0,6,11,,,1
Jorge Herrando,ESP,DF,Osasuna,23,15.2,3,0,0,25,2,0,1,12,10,,,0
Ander Herrera,ESP,MF,Athletic Club,34,3.0,2,0,0,6,3,0,1,2,4,,,0
Sergio Herrera,ESP,GK,Osasuna,31,37.0,5,0,0,1,4,0,0,0,2,,,0
Yangel Herrera,VEN,MF,Girona,26,25.1,10,1,0,71,68,5,45,29,42,,,0
Juan Herzog,ESP,DF,Las Palmas,21,14.6,1,0,0,6,7,0,0,21,11,,,0
Omar El Hilali,MAR,DF,Espanyol,20,35.0,11,0,0,52,30,7,57,45,78,,,0
Roger Hinojo,ESP,DF,Espanyol,19,0.1,0,0,0,0,0,0,2,0,0,,,0
Dinko HorkaЕЎ,CRO,GK,Las Palmas,25,12.1,1,0,0,1,1,0,0,0,0,,,0
Pablo IbГЎГ±ez,ESP,MF,Osasuna,25,14.4,4,0,0,28,29,0,13,18,11,,,0
Stanis Idumbo,BEL,MF,Sevilla,19,3.2,0,0,0,1,7,0,0,4,5,,,0
Iglesias,ESP,"DF,MF",Getafe,26,32.1,4,0,0,45,41,1,84,46,49,,,0
Borja Iglesias,ESP,FW,Celta Vigo,31,21.7,2,0,0,40,34,14,6,7,7,,,0
Kelechi Iheanacho,NGA,FW,Sevilla,27,4.4,0,0,0,5,1,7,0,0,0,,,0
