Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value,league
Mike Maignan,FRA,GK,Milan,29,37,37,3294,36.6,41,1.12,137,98,70.8,17,9,11,13,35.1,2,1,1,0,50.0,25.0,IT1
Christos Mandas,GRE,GK,Lazio,22,9,9,810,9.0,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,0.0,10.0,IT1
Josep Martinez,ESP,GK,Inter,26,5,5,450,5.0,3,0.6,15,12,80.0,4,1,0,3,60.0,0,0,0,0,0.0,12.0,IT1
Andrea Mazza,ITA,GK,Monza,20,1,0,8,0.1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.075,IT1
Alex Meret,ITA,GK,Napoli,27,34,34,3005,33.4,25,0.75,81,59,70.4,21,9,4,17,50.0,4,1,2,1,66.7,18.0,IT1
Vanja Milinkovic-Savic,SRB,GK,Torino,27,37,37,3330,37.0,42,1.14,166,131,76.5,10,14,13,10,27.0,7,3,4,0,57.1,16.0,IT1
Lorenzo Montipo,ITA,GK,Hellas Verona,28,36,36,3240,36.0,64,1.78,161,100,61.5,9,7,20,8,22.2,4,2,1,1,33.3,2.0,IT1
Maduka Okoye,NGA,GK,Udinese,24,25,25,2250,25.0,40,1.6,109,73,67.0,6,4,15,4,16.0,5,4,0,1,0.0,7.5,IT1
Daniele Padelli,ITA,GK,Udinese,38,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0.15,IT1
Alberto Paleari,ITA,GK,Torino,31,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,0.0,0.5,IT1
Rui Patricio,POR,GK,Atalanta,36,3,3,270,3.0,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0,0.0,0.8,IT1
Simone Perilli,ITA,GK,Hellas Verona,29,2,2,180,2.0,2,1.0,11,9,81.8,1,0,1,0,0.0,0,0,0,0,0.0,0.4,IT1
Mattia Perin,ITA,GK,Juventus,31,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,0.0,2.5,IT1
Semuel Pizzignacco,ITA,GK,Monza,22,9,8,736,8.2,17,2.08,40,23,57.5,1,2,5,1,12.5,0,0,0,0,0.0,0.8,IT1
Ivan Provedel,ITA,GK,Lazio,30,29,29,2610,29.0,42,1.45,91,53,58.2,15,6,8,5,17.2,4,4,0,0,0.0,3.0,IT1
Ionut Radu,ROU,GK,Venezia,27,15,15,1350,15.0,18,1.2,63,47,76.2,2,7,6,4,26.7,3,3,0,0,0.0,2.5,IT1
Federico Ravaglia,ITA,GK,Bologna,24,12,11,1056,11.7,14,1.19,23,10,43.5,5,2,4,4,36.4,1,1,0,0,0.0,1.5,IT1
Pepe Reina,ESP,GK,Como,41,12,12,1034,11.5,14,1.22,41,28,68.3,3,4,5,2,16.7,1,1,0,0,0.0,0.5,IT1
