Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Rafael,BRA,FW,Botafogo (RJ),33,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0
Ze Rafael,BRA,MF,Palmeiras,30,18,11,951,10.6,0,2,2,0,0,0,7,0,0.6,0.6,1.8,2.4,10,49,20,0.0,0.19,0.19,0.0,0.19,0.05,0.17,0.22,0.05,0.22,5.0,0,28,18,0,4,12,16,0
Rafinha,BRA,DF,São Paulo,38,9,7,518,5.8,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,10,29,18,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.25,0,7,6,0,9,5,2,0
Railan,BRA,"DF,MF",Cuiabá,23,23,10,1201,13.3,0,3,3,0,0,0,4,0,0.3,0.3,0.6,0.9,38,49,69,0.0,0.22,0.22,0.0,0.22,0.02,0.04,0.07,0.02,0.07,0.15,0,15,17,1,45,25,12,0
Andre Ramalho,BRA,DF,Corinthians,31,18,17,1482,16.5,0,1,1,0,0,0,5,1,0.3,0.3,0.3,0.5,10,53,3,0.0,0.06,0.06,0.0,0.06,0.02,0.02,0.03,0.02,0.03,3.5,0,23,6,1,1,24,15,0
Eric Ramires,BRA,MF,RB Bragantino,23,22,11,1106,12.3,2,2,4,2,0,0,4,0,2.0,2.0,0.3,2.3,9,38,33,0.16,0.16,0.33,0.16,0.33,0.17,0.02,0.19,0.17,0.19,4.0,0,17,18,1,10,8,17,0
Ramon,BRA,DF,Cuiabá,22,30,30,2636,29.3,2,1,3,2,0,0,9,0,1.0,1.0,1.5,2.5,48,88,95,0.07,0.03,0.1,0.07,0.1,0.03,0.05,0.08,0.03,0.08,2.5,0,36,25,2,85,26,43,0
Randerson,BRA,MF,Atl Goianiense,19,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0
Pedro Rangel,BRA,GK,Atl Goianiense,23,6,6,540,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0,0,0,0,0,0,0,1
Raniele,BRA,"MF,DF",Corinthians,27,33,28,2290,25.4,0,0,0,0,0,0,8,0,1.4,1.4,0.9,2.4,20,72,26,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.09,0.06,0.09,1.0,0,34,31,1,11,46,33,0
Rafael Ratao,BRA,"FW,MF",Bahia,28,19,0,438,4.9,1,2,3,1,0,0,0,0,2.9,2.9,0.7,3.6,15,25,66,0.21,0.41,0.62,0.21,0.62,0.6,0.14,0.74,0.6,0.74,2.5,0,9,5,1,7,1,10,0
Wellington Rato,BRA,"FW,MF",São Paulo,31,25,10,1052,11.7,1,5,6,1,0,0,2,0,2.2,2.2,3.5,5.7,24,47,90,0.09,0.43,0.51,0.09,0.51,0.19,0.3,0.49,0.19,0.49,0.8,0,10,20,4,92,1,4,0
Raul,BRA,MF,RB Bragantino,27,28,14,1305,14.5,1,1,2,1,0,0,2,0,0.3,0.3,1.1,1.5,9,68,10,0.07,0.07,0.14,0.07,0.14,0.02,0.08,0.1,0.02,0.1,2.0,0,20,13,0,2,22,19,1
Pedro Raul,BRA,FW,Corinthians,27,19,4,539,6.0,0,0,0,0,0,0,2,0,1.4,1.4,0.4,1.8,6,10,42,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.29,0.24,0.29,6.0,0,12,11,2,2,0,9,0
Leonardo Realpe,ECU,DF,RB Bragantino,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,1.0,0,1,1,0,0,5,2,0
Reinaldo,BRA,DF,Grêmio,34,29,28,2526,28.1,3,2,5,1,2,2,6,0,2.6,1.0,2.7,3.7,34,128,102,0.11,0.07,0.18,0.04,0.11,0.09,0.1,0.19,0.03,0.13,1.0,0,21,22,2,93,21,32,0
