Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Jasper Schendelaar,NED,GK,Zwolle,23.0,30,30,2700,30.0,0,2,2,0,0,0,0,0,0.0,0.0,1.1,1.1,0,1,0,0.0,0.07,0.07,0.0,0.07,0.0,0.04,0.04,0.0,0.04,2.5,0,0,7,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Tristan Schenkhuizen,NED,"MF,FW",Fortuna Sittard,20.0,3,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,0.025,0,1,0,0,0,0,0,0,1,0,0.0,12.86,0.0,0.0,0.0
Sem Scheperman,NED,MF,Heracles Almelo,22.0,23,17,1639,18.2,1,1,2,1,0,0,7,1,1.2,1.2,0.3,1.4,13,59,18,0.05,0.05,0.11,0.05,0.11,0.06,0.01,0.08,0.06,0.08,0.9,0,36,14,1,3,29,42,0,10,4,40.0,0.55,0.22,0.1,0.25
Lasse Schone,DEN,MF,NEC Nijmegen,38.0,17,2,298,3.3,0,0,0,0,0,0,1,1,0.1,0.1,0.0,0.1,5,33,8,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.075,0,4,3,0,10,6,2,0,2,1,50.0,0.6,0.3,0.0,0.0
Erik Schouten,NED,DF,Willem II,32.0,18,18,1577,17.5,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,2,41,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.2,0,6,7,0,0,13,18,0,4,1,25.0,0.23,0.06,0.0,0.0
Jerdy Schouten,NED,MF,PSV Eindhoven,27.0,18,15,1295,14.4,1,2,3,1,0,0,1,0,0.8,0.8,1.9,2.8,20,104,35,0.07,0.14,0.21,0.07,0.21,0.06,0.13,0.19,0.06,0.19,22.0,0,11,15,0,2,9,6,0,7,4,57.1,0.49,0.28,0.14,0.25
Lewis Schouten,NED,MF,AZ Alkmaar,20.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jorg Schreuders,NED,"MF,FW",Groningen,19.0,32,23,1940,21.6,5,1,6,5,0,0,2,0,2.4,2.4,2.1,4.4,46,57,139,0.23,0.05,0.28,0.23,0.28,0.11,0.1,0.2,0.11,0.2,1.2,0,19,19,3,19,11,26,0,20,12,60.0,0.93,0.56,0.25,0.42
Ilias Sebaoui,BEL,"FW,MF",Heerenveen,22.0,30,22,1929,21.4,3,0,3,3,0,0,0,1,4.8,4.8,2.1,6.9,46,53,183,0.14,0.0,0.14,0.14,0.14,0.22,0.1,0.32,0.22,0.32,1.5,0,27,25,9,35,11,13,0,67,15,22.4,3.13,0.7,0.04,0.2
Mats Seuntjens,NED,"FW,MF",Groningen,32.0,13,9,664,7.4,2,2,4,1,1,1,0,0,1.6,0.9,1.8,2.7,3,26,26,0.27,0.27,0.54,0.14,0.41,0.22,0.24,0.47,0.12,0.36,0.55,0,9,4,0,53,1,10,0,10,7,70.0,1.36,0.95,0.1,0.14
Kento Shiogai,JPN,FW,NEC Nijmegen,19.0,25,3,559,6.2,4,1,5,4,0,0,0,0,3.8,3.8,1.2,5.0,12,14,30,0.64,0.16,0.81,0.64,0.81,0.62,0.19,0.8,0.62,0.8,0.85,0,12,4,2,1,1,8,0,23,8,34.8,3.7,1.29,0.17,0.5
