Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Daniil Utkin,RUS,MF,Rostov,24,21,20,1406,15.6,1,2,3,1,0,1,3,0,0.06,0.13,0.19,0.06,0.19,2.8,0,8,22,1,54,16,15,0,28,10,35.71,1.79,0.64,0.04,0.1
Rizvan Utsiyev,RUS,DF,Akhmat Grozny,36,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0,1,1,0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Valenti­n Vada,ARG,"MF,FW",Rubin Kazan,28,24,15,1208,13.4,2,2,4,1,1,1,1,0,0.15,0.15,0.3,0.07,0.22,1.8,0,19,17,2,72,7,9,0,25,6,24.0,1.86,0.45,0.04,0.17
Ilya Vakhaniya,RUS,DF,Rostov,23,29,26,2284,25.4,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,3.0,0,23,34,3,80,57,31,0,8,1,12.5,0.32,0.04,0.0,0.0
Dmitrii Vasilev,RUS,DF,Zenit,20,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nikita Vasiliev,RUS,"MF,FW",Rubin Kazan,17,3,2,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Ilia Vasin,RUS,FW,Fakel Voronezh,18,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.075,0,0,0,0,0,0,0,0,2,0,0.0,60.0,0.0,0.0,0.0
Aleksandr Vasyutin,RUS,GK,FK Akron Tolyatti,29,15,15,1228,13.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0,1,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Thiago Vecino,URU,FW,Nizhny Novgorod,25,9,2,236,2.6,1,0,1,0,1,2,2,0,0.38,0.0,0.38,0.0,0.0,0.7,0,8,1,0,0,1,0,0,2,1,50.0,0.76,0.38,0.0,0.0
Danila Vedernikov,RUS,"DF,MF",Nizhny Novgorod,23,5,3,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,4,1,5,0,2,0,0.0,0.55,0.0,0.0,0.0
Lucas Vera,ARG,"MF,FW",FC Khimki,27,30,28,2447,27.2,7,4,11,3,4,5,3,0,0.26,0.15,0.4,0.11,0.26,3.5,0,8,23,3,161,8,15,0,31,14,45.2,1.14,0.51,0.1,0.21
Luka Vesner Ticic,SVN,"MF,DF",Nizhny Novgorod,23,22,17,1572,17.5,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,0.7,0,18,11,0,32,11,10,0,14,3,21.4,0.8,0.17,0.0,0.0
Paulo Vitor,BRA,DF,FK Akron Tolyatti,23,16,15,1295,14.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0,6,5,1,2,14,16,0,6,0,0.0,0.42,0.0,0.0,0.0
Maksim Vityugov,RUS,MF,Samara,26,10,6,592,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.9,0,9,6,1,3,11,6,0,5,0,0.0,0.76,0.0,0.0,0.0
David Volk,RUS,GK,D'mo Makhachkala,23,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.2,0,0,4,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Sergei Volkov,RUS,GK,FK Akron Tolyatti,29,18,15,1472,16.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
