Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Jaime Mata,ESP,"FW,MF",Las Palmas,35,30,4,656,7.3,0,0,0,0,0,0,9,0,2.6,2.6,0.1,2.8,6,10,48,0.0,0.0,0.0,0.0,0.0,0.36,0.02,0.38,0.36,0.38,0.4,0,20,14,12,9,3,2,0,17,6,35.3,2.33,0.82,0.0,0.0
Borja Mayoral,ESP,FW,Getafe,27,24,7,1114,12.4,5,1,6,4,1,1,0,0,3.4,2.6,0.9,3.6,10,13,43,0.4,0.08,0.48,0.32,0.4,0.28,0.07,0.35,0.21,0.29,7.5,0,9,15,12,9,2,4,0,20,9,45.0,1.62,0.73,0.2,0.44
Kylian Mbappe,FRA,FW,Real Madrid,25,34,34,2907,32.3,31,3,34,24,7,9,3,1,25.9,18.6,7.7,26.3,150,140,386,0.96,0.09,1.05,0.74,0.84,0.8,0.24,1.04,0.58,0.81,180.0,0,25,40,44,34,1,5,0,161,85,52.8,4.98,2.63,0.15,0.28
Oliver McBurnie,SCO,FW,Las Palmas,28,34,20,1837,20.4,3,6,9,3,0,0,3,0,4.8,4.8,2.8,7.6,7,27,75,0.15,0.29,0.44,0.15,0.44,0.24,0.14,0.37,0.24,0.37,2.5,0,32,19,9,2,6,8,0,32,13,40.6,1.57,0.64,0.09,0.23
Scott McKenna,SCO,DF,Las Palmas,27,29,28,2466,27.4,0,0,0,0,0,0,5,1,1.1,1.1,0.7,1.8,11,45,3,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,4.0,0,13,8,1,2,8,13,1,10,0,0.0,0.36,0.0,0.0,0.0
Mateo Mejia,ESP,FW,Sevilla,21,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Arthur Melo,BRA,MF,Girona,27,15,10,941,10.5,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,24,70,17,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,5.0,0,16,27,0,6,10,12,0,6,1,16.7,0.57,0.1,0.0,0.0
Brais Mendez,ESP,MF,Real Sociedad,27,27,19,1531,17.0,3,2,5,3,0,0,4,0,3.5,3.5,2.0,5.5,32,91,86,0.18,0.12,0.29,0.18,0.29,0.21,0.12,0.33,0.21,0.33,22.0,0,41,45,9,50,7,14,0,28,9,32.1,1.65,0.53,0.11,0.33
Ferland Mendy,FRA,DF,Real Madrid,29,14,12,1005,11.2,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0.5,12,36,40,0.0,0.09,0.09,0.0,0.09,0.0,0.05,0.05,0.0,0.05,14.0,0,5,7,0,1,9,14,0,0,0,0.0,0.0,0.0,0.0,0.0
Nobel Mendy,FRA,DF,Betis,19,2,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,1,1,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0
